,Enter_CMC,Max_CMC,Min_CMC,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Now_CMC,data_added
Hedera,,,,,,,,,0.38871901345328,2019-09-17T00:00:00.000Z
Helium,,,,,,,,,28.78900626865934,2020-06-05T00:00:00.000Z
Holo,,,,,,,,,0.01040988824344,2018-04-29T00:00:00.000Z
Horizon,0.295069,5.8,0.125,,0.0874,600000000.0,0.6,2000000.0,,
Huobi Token,,,,,,,,,9.47238206362845,2018-02-03T00:00:00.000Z
ICON,,,,,,,,,2.0593044326433,2017-10-27T00:00:00.000Z
IOTA,,,,,,,,,1.28372466057958,2017-06-13T00:00:00.000Z
Icon,0.40891900000000003,12.64,0.397951,,0.11,400230000.0,0.5,113285100.0,,
Ink Protocol,0.280377,1.01,0.130053,,0.13,150000000.0,0.3,15000000.0,,
Internet Computer,,,,,,,,,43.71774678037012,2021-03-23T00:00:00.000Z
Jibrel Network,0.42,0.609,0.337,,0.25,140000000.0,0.7,35000000.0,,
Kin,9.300000000000001e-05,0.001493,3.7e-05,,0.0001,1000000000000.0,0.1,125000000.0,,
Klaytn,,,,,,,,,1.59839380740866,2020-03-30T00:00:00.000Z
KuCoin Token,,,,,,,,,17.22180030245764,2017-10-24T00:00:00.000Z
Kusama,,,,,,,,,365.6413273983326,2019-12-12T00:00:00.000Z
Kyber Network,1.85,6.0,0.8867440000000001,,0.38,137995600.0,0.61,151046800.0,,
Lampix,0.08039,0.789463,0.020331000000000002,,0.11,550000000.0,0.5,66000000.0,,
LeverJ,0.264422,0.42380200000000007,0.076409,,0.15,300000000.0,0.3,17200000.0,,
Liquid Asset Token,0.2178,2.0,0.1097,,0.42,200000000.0,0.5,19000000.0,,
Litecoin,,,,,,,,,193.3536485277626,2013-04-28T00:00:00.000Z
Maecenas,0.341763,2.58,0.171073,,0.66,30000000.0,0.3,37538151.0,,
Maker,,,,,,,,,2447.0094932325674,2017-01-29T00:00:00.000Z
Matrix,1.09,1.36,0.386,,0.36,130000000.0,0.13,46800000.0,,
Mercury,0.00118,1.36,0.001006,0.0,0.043,600000000.0,0.6,10306919.0,,
Mina,,,,,,,,,4.60219350461097,2021-03-02T00:00:00.000Z
Mobius,0.38,0.46,0.11900000000000001,,0.16,310800000.0,0.35,39000000.0,,
Monero,,,,,,,,,269.5963906511156,2014-05-21T00:00:00.000Z
Monetha,0.226195,0.646666,0.047472,,0.16,249488000.0,0.62,71747230.0,,
NAGA,1.54,4.24,0.7070000000000001,,1.0,220000000.0,0.55,220000000.0,,
NEAR Protocol,,,,,,,,,11.31028320092947,2020-08-11T00:00:00.000Z
NEM,,,,,,,,,0.16588950300213,2015-04-01T00:00:00.000Z
Nebulas,4.39,16.29,1.55,0.15,2.0,40000000.0,0.4,60000000.0,,
Neo,,,,,,,,,41.70255583810535,2016-09-08T00:00:00.000Z
Nexo,,,,,,,,,2.95303688921092,2018-05-01T00:00:00.000Z
OKB,,,,,,,,,22.84048429255447,2019-04-30T00:00:00.000Z
OMG Network,,,,,,,,,13.10494007537506,2017-07-14T00:00:00.000Z
PancakeSwap,,,,,,,,,17.95727579458361,2020-09-25T00:00:00.000Z
Pareto Network,0.049,0.073,0.023,0.4,0.0607,320000000.0,0.64,12000000.0,,
Perpetual Protocol,,,,,,,,,16.08093212162445,2020-09-08T00:00:00.000Z
Polkadot,,,,,,,,,43.01018509786843,2020-08-19T00:00:00.000Z
Polygon,,,,,,,,,2.05938941102733,2019-04-28T00:00:00.000Z
Power Ledger,0.056271,2.01,0.045818,,0.0838,350000000.0,0.35,34146854.0,,
Propy,0.8239190000000001,6.15,0.237594,,1.093,35000000.0,0.35,17500000.0,,
Pundix,3.81,4.68,0.977,0.3,2.13,116608275000.0,0.67,35000000.0,,
QASH,0.48245600000000005,2.49,0.417022,,0.24,500000000.0,0.5,377617000.0,,
Qlink,0.3355,1.27,0.124,0.3,0.1,400000000.0,0.4,40097770.0,,
Qtum,,,,,,,,,12.92721710828731,2017-05-24T00:00:00.000Z
Quant,,,,,,,,,288.9267741957057,2018-08-10T00:00:00.000Z
Quantstamp,0.068155,0.8664209999999999,0.06772,1.0,0.07200000000000001,650000000.0,0.65,65705358.0,,
RChain,0.186912,3.14,0.023524,,0.2,100600000.0,0.12,20120000.0,,
Raiden Network,0.9200379999999999,8.84,0.8907879999999999,,0.67,50000000.0,0.5,82720780.0,,
Ravencoin,,,,,,,,,0.11237679367957,2018-03-10T00:00:00.000Z
Real,0.891969,2.54,0.18695599999999998,,1.32,10055817.0,0.51,11153126.0,,
Red Pulse,0.060589,0.8080579999999999,0.029970999999999998,,0.0358,151692739.0,0.4,15000000.0,,
Ren,,,,,,,,,1.06744208516466,2018-02-21T00:00:00.000Z
Request Network,0.058464,1.18,0.031107,,0.0672,500000000.0,0.5,75523400.0,,
Revain,,,,,,,,,0.01600846157859,2017-11-01T00:00:00.000Z
SHIBA INU,,,,,,,,,7.044591552e-05,2020-08-01T00:00:00.000Z
STK Token,0.314,0.314,0.128,,0.1,275000000.0,0.55,17000000.0,,
Secret,,,,,,,,,9.90278683428146,2020-05-19T00:00:00.000Z
Self Key,0.07,0.09,0.0124,0.5,0.015,1980000000.0,0.33,21780000.0,,
Sense Token,0.056037000000000003,0.066148,0.028024,,0.1,275000000.0,0.28,9000000.0,,
Simple Token,0.410537,1.47,0.161248,0.5,0.0889,240000000.0,0.3,34888035.0,,
SingularityNET,0.539,1.85,0.29100000000000004,0.35,0.1,500000000.0,0.5,36000000.0,,
Solana,,,,,,,,,199.07476006198593,2020-04-10T00:00:00.000Z
Stacks,,,,,,,,,1.92599159367791,2019-10-28T00:00:00.000Z
Stellar,,,,,,,,,0.34676320310575,2014-08-05T00:00:00.000Z
Storm Token,0.016,0.244,0.016,1.0,0.0113,3375749921.0,0.65,50000000.0,,
